Latitude,Longitude,MGRS.WGS84
40.87769,20.11646,34TDL2555525555
42.23179,20.70376,34TDM7555575554
41.32187,19.51306,34TCL7555475555
41.77209,19.50271,34TCM7555425555
42.22226,19.49212,34TCM7555575554
41.77835,20.1042,34TDM2555425554
42.67887,20.09138,34TDN2555525555
40.88067,21.30331,34TEL2555425554
40.88071,20.70986,34TDL7555425555
39.97688,20.12817,34SDK2555525555
41.32804,20.1104,34TDL2555575555
40.87162,19.52319,34TCL7555525555
40.42133,19.53308,34TCK7555475555
40.4273,20.12238,34TDK2555575554
41.78147,20.70584,34TDM7555525555
39.971,19.54275,34SCK7555425555
39.9798,20.71371,34SDK7555525554
40.43027,20.71181,34TDK7555575554
42.22863,20.09786,34TDM2555475555
39.52642,20.13383,34SDJ2555575554
42.6724,1.48128,31TCH7555425554
46.72928,15.98883,33TWM7555575555
47.18299,15.33729,33TWN2555425554
47.17151,16.65681,33TXN2555425555
47.62123,16.67097,33TXN2555475555
47.60961,17.33592,33TXN7555575555
48.07112,13.32941,33UUP7555425554
48.07892,14.00049,33UVP2555525555
48.53258,15.34616,33UWP2555575554
48.07879,16.01441,33UWP7555425555
48.52855,16.02337,33UWP7555575554
48.0709,16.68548,33UXP2555425554
48.52054,16.70035,33UXP2555575554
47.63289,9.34017,32TNT2555475554
47.62144,13.3438,33TUN7555575555
46.7331,14.68005,33TVM7555475554
47.17915,15.99715,33TWN7555425554
48.05941,12.6587,33UUP2555525555
48.0828,14.67177,33UVP7555425555
48.53263,14.66888,33UVP7555575555
48.98242,14.66591,33UVQ7555525555
48.08275,15.34313,33UWP2555425554
48.0591,17.35619,33UXP7555525554
47.17915,9.99715,32TNT7555425554
47.62899,10.00568,32TNT7555575555
46.72175,10.64299,32TPS2555575554
46.71049,11.29682,32TPS7555575554
47.17151,10.65681,32TPT2555425555
47.16007,11.31613,32TPT7555425554
47.59414,11.83042,32TQT1277975074
47.14522,12.18084,33TTN8625925158
47.59453,12.16957,33TTN8722175117
46.71078,12.71769,33TUM2555475554
47.16037,12.6985,33TUN2555425555
47.17172,13.35783,33TUN7555425555
46.7294,14.0257,33TVM2555575554
47.62912,14.00909,33TVN2555475555
47.17928,14.0175,33TVN2555525555
46.72196,13.37153,33TUM7555475554
47.60991,12.67884,33TUN2555475555
47.18299,9.33729,32TNT2555425554
47.62123,10.67097,32TPT2555475555
47.63293,14.6746,33TVN7555475554
46.73306,15.33447,33TWM2555475555
47.63289,15.34017,33TWN2555475554
47.62899,16.00568,33TWN7555575555
48.52869,13.99167,33UVP2555575555
47.14485,11.81915,32TQT1374125117
47.18304,14.67736,33TVN7555525555
48.52076,13.31468,33UUP7555575554
48.98237,15.34926,33UWQ2555425554
48.97828,16.03254,33UWQ7555425554
46.28313,14.68268,33TVM7555425554
48.97014,16.71559,33UXQ2555525554
46.69588,12.19184,33TTM8530475199
46.72928,9.98883,32TNS7555575555
46.27949,14.0337,33TVM2555425555
52.5658,31.16395,36UUD7555425554
52.12535,28.10368,35UNT7555575554
55.2452,29.68002,35UPB7036825352
55.69396,29.69352,35UPB6929175307
52.55172,23.58941,34UFD7555525555
53.92305,25.86636,35UMV2555475555
55.27066,28.18918,35UNB7555525555
53.92777,27.38919,35UNV2555575555
55.26046,28.97572,35UPB2555525554
53.46427,31.1254,36UUE7555525554
53.02435,25.89006,35UMU2555475555
51.68038,27.36962,35UNT2555425554
55.71984,28.20279,35UNB7555575554
53.47356,28.13835,35UNV7555525555
52.11626,28.83373,35UPT2555475555
52.55207,30.42695,36UUD2555525554
54.36259,31.08472,36UUF7555525555
51.65388,24.47816,35ULT2555525554
52.11651,25.18247,35ULT7555475555
52.5658,25.16395,35ULU7555425554
54.82653,26.6195,35UMA7555575554
52.1255,25.91254,35UMT2555575554
54.82144,28.17594,35UNA7555575555
55.72506,27.40686,35UNB2555475555
52.12993,27.37333,35UNT2555475555
51.67588,28.09272,35UNT7555525554
53.45009,24.37037,35ULV2538325561
51.65354,29.53787,35UPT7555425555
54.37218,28.16306,35UNA7555425555
52.12998,26.64289,35UMT7555575555
55.72512,26.61081,35UMB7555575555
56.16899,28.21679,35VNC7555425554
52.103,24.45289,35ULT2555575554
53.47836,27.38506,35UNV2555425555
54.36259,25.08472,35ULA7555525555
53.02419,28.12648,35UNU7555475554
54.81141,28.95374,35UPA2555575555
53.00074,29.61621,35UPU7555575554
51.63571,29.9454,35UQT0381924631
51.65354,23.53787,34UFC7555425555
51.63571,23.9454,34UGC0381924631
52.57479,28.11493,35UNU7555525554
52.55207,24.42695,35ULU2555525554
51.68043,26.64643,35UMT7555425554
53.89866,23.64171,34UFE7356475480
52.08453,29.95988,35UQT0279274573
53.47371,25.87837,35UMV2555425554
54.37714,27.39342,35UNA2555425555
51.63615,30.05459,36UTC9618124680
52.10265,29.5633,35UPT7555475555
52.103,30.45289,36UUC2555575554
53.46401,28.89131,35UPV2555425555
54.36231,28.93236,35UPA2555525554
53.44972,23.62963,34UFE7461825520
52.11651,31.18247,36UUC7555475555
53.47841,26.63166,35UMV7555425554
54.82648,27.39778,35UNA2555575555
52.56555,28.85242,35UPU2555525555
50.33154,3.35905,31UER2555475555
50.77683,4.07163,31UES7555525555
49.40733,5.42008,31UFQ7555475554
50.30594,5.46541,31UFR7555575554
50.75519,5.48895,31UFS7555525555
51.23085,2.64989,31UDS7555575555
50.32724,4.06148,31UER7555475554
50.78119,3.36249,31UES2555525555
51.2308,3.36601,31UES2555575554
51.22637,4.08204,31UES7555575554
50.31871,4.76366,31UFR2555575554
49.85666,5.44246,31UFR7555425554
