"Species"	"TaskID"
"Aeshna affinis"	1
"Aeshna caerulea"	2
"Aeshna cyanea"	3
"Aeshna grandis"	4
"Aeshna isoceles"	5
"Aeshna juncea"	6
"Aeshna mixta"	7
"Aeshna subarctica"	8
"Aeshna viridis"	9
"Anax ephippiger"	10
"Anax imperator"	11
"Anax parthenope"	12
"Boyeria irene"	13
"Brachytron pratense"	14
"Calopteryx splendens"	15
"Calopteryx virgo"	16
"Ceriagrion tenellum"	17
"Chalcolestes viridis"	18
"Coenagrion armatum"	19
"Coenagrion hastulatum"	20
"Coenagrion lunulatum"	21
"Coenagrion mercuriale"	22
"Coenagrion ornatum"	23
"Coenagrion puella"	24
"Coenagrion pulchellum"	25
"Coenagrion scitulum"	26
"Cordulegaster bidentata"	27
"Cordulegaster boltonii"	28
"Cordulia aenea"	29
"Crocothemis erythraea"	30
"Enallagma cyathigerum"	31
"Epitheca bimaculata"	32
"Erythromma lindenii"	33
"Erythromma najas"	34
"Erythromma viridulum"	35
"Gomphus flavipes"	36
"Gomphus pulchellus"	37
"Gomphus vulgatissimus"	38
"Ischnura elegans"	39
"Ischnura pumilio"	40
"Lestes barbarus"	41
"Lestes dryas"	42
"Lestes sponsa"	43
"Lestes virens"	44
"Leucorrhinia albifrons"	45
"Leucorrhinia caudalis"	46
"Leucorrhinia dubia"	47
"Leucorrhinia pectoralis"	48
"Leucorrhinia rubicunda"	49
"Libellula depressa"	50
"Libellula fulva"	51
"Libellula quadrimaculata"	52
"Nehalennia speciosa"	53
"Onychogomphus forcipatus"	54
"Ophiogomphus cecilia"	55
"Orthetrum albistylum"	56
"Orthetrum brunneum"	57
"Orthetrum cancellatum"	58
"Orthetrum coerulescens"	59
"Oxygastra curtisii"	60
"Platycnemis pennipes"	61
"Pyrrhosoma nymphula"	62
"Somatochlora alpestris"	63
"Somatochlora arctica"	64
"Somatochlora flavomaculata"	65
"Somatochlora metallica"	66
"Sympecma fusca"	67
"Sympecma paedisca"	68
"Sympetrum danae"	69
"Sympetrum depressiusculum"	70
"Sympetrum flaveolum"	71
"Sympetrum fonscolombii"	72
"Sympetrum meridionale"	73
"Sympetrum pedemontanum"	74
"Sympetrum sanguineum"	75
"Sympetrum striolatum"	76
"Sympetrum vulgatum"	77
