"TaskID"	"Species"
1	"Aeshna cyanea"
2	"Aeshna grandis"
3	"Aeshna isoceles"
4	"Aeshna juncea"
5	"Aeshna mixta"
6	"Aeshna subarctica"
7	"Anax imperator"
8	"Anax parthenope"
9	"Brachytron pratense"
10	"Calopteryx splendens"
11	"Calopteryx virgo"
12	"Chalcolestes viridis"
13	"Coenagrion hastulatum"
14	"Coenagrion lunulatum"
15	"Coenagrion mercuriale"
16	"Coenagrion ornatum"
17	"Coenagrion puella"
18	"Coenagrion pulchellum"
19	"Cordulegaster bidentata"
20	"Cordulegaster boltonii"
21	"Cordulia aenea"
22	"Crocothemis erythraea"
23	"Enallagma cyathigerum"
24	"Epitheca bimaculata"
25	"Erythromma lindenii"
26	"Erythromma najas"
27	"Erythromma viridulum"
28	"Gomphus pulchellus"
29	"Gomphus vulgatissimus"
30	"Ischnura elegans"
31	"Ischnura pumilio"
32	"Lestes barbarus"
33	"Lestes dryas"
34	"Lestes sponsa"
35	"Lestes virens"
36	"Leucorrhinia albifrons"
37	"Leucorrhinia caudalis"
38	"Leucorrhinia dubia"
39	"Leucorrhinia pectoralis"
40	"Leucorrhinia rubicunda"
41	"Libellula depressa"
42	"Libellula fulva"
43	"Libellula quadrimaculata"
44	"Nehalennia speciosa"
45	"Onychogomphus forcipatus"
46	"Ophiogomphus cecilia"
47	"Orthetrum brunneum"
48	"Orthetrum cancellatum"
49	"Orthetrum coerulescens"
50	"Platycnemis pennipes"
51	"Pyrrhosoma nymphula"
52	"Somatochlora alpestris"
53	"Somatochlora arctica"
54	"Somatochlora flavomaculata"
55	"Somatochlora metallica"
56	"Sympecma fusca"
57	"Sympecma paedisca"
58	"Sympetrum danae"
59	"Sympetrum depressiusculum"
60	"Sympetrum flaveolum"
61	"Sympetrum fonscolombii"
62	"Sympetrum meridionale"
63	"Sympetrum pedemontanum"
64	"Sympetrum sanguineum"
65	"Sympetrum striolatum"
66	"Sympetrum vulgatum"
