"TaskID"	"Species"
1	"Aeshna cyanea"
2	"Aeshna grandis"
3	"Aeshna isoceles"
4	"Aeshna mixta"
5	"Anax imperator"
6	"Anax parthenope"
7	"Brachytron pratense"
8	"Calopteryx splendens"
9	"Calopteryx virgo"
10	"Chalcolestes viridis"
11	"Coenagrion mercuriale"
12	"Coenagrion puella"
13	"Coenagrion pulchellum"
14	"Cordulegaster boltonii"
15	"Cordulia aenea"
16	"Crocothemis erythraea"
17	"Enallagma cyathigerum"
18	"Erythromma najas"
19	"Erythromma viridulum"
20	"Gomphus pulchellus"
21	"Gomphus vulgatissimus"
22	"Ischnura elegans"
23	"Ischnura pumilio"
24	"Lestes sponsa"
25	"Libellula depressa"
26	"Libellula fulva"
27	"Libellula quadrimaculata"
28	"Ophiogomphus cecilia"
29	"Orthetrum cancellatum"
30	"Platycnemis pennipes"
31	"Pyrrhosoma nymphula"
32	"Somatochlora metallica"
33	"Sympecma fusca"
34	"Sympetrum danae"
35	"Sympetrum sanguineum"
36	"Sympetrum striolatum"
37	"Sympetrum vulgatum"
