"TaskID"	"Species"
1	"Aeshna affinis"
2	"Aeshna cyanea"
3	"Aeshna grandis"
4	"Aeshna isoceles"
5	"Aeshna juncea"
6	"Aeshna mixta"
7	"Aeshna viridis"
8	"Anax imperator"
9	"Anax parthenope"
10	"Brachytron pratense"
11	"Calopteryx splendens"
12	"Calopteryx virgo"
13	"Chalcolestes viridis"
14	"Coenagrion hastulatum"
15	"Coenagrion mercuriale"
16	"Coenagrion ornatum"
17	"Coenagrion puella"
18	"Coenagrion pulchellum"
19	"Cordulegaster boltonii"
20	"Cordulia aenea"
21	"Crocothemis erythraea"
22	"Enallagma cyathigerum"
23	"Erythromma najas"
24	"Erythromma viridulum"
25	"Gomphus flavipes"
26	"Gomphus vulgatissimus"
27	"Ischnura elegans"
28	"Ischnura pumilio"
29	"Lestes barbarus"
30	"Lestes dryas"
31	"Lestes sponsa"
32	"Lestes virens"
33	"Leucorrhinia albifrons"
34	"Leucorrhinia caudalis"
35	"Leucorrhinia dubia"
36	"Leucorrhinia pectoralis"
37	"Leucorrhinia rubicunda"
38	"Libellula depressa"
39	"Libellula fulva"
40	"Libellula quadrimaculata"
41	"Ophiogomphus cecilia"
42	"Orthetrum cancellatum"
43	"Orthetrum coerulescens"
44	"Platycnemis pennipes"
45	"Pyrrhosoma nymphula"
46	"Somatochlora alpestris"
47	"Somatochlora arctica"
48	"Somatochlora flavomaculata"
49	"Somatochlora metallica"
50	"Sympecma fusca"
51	"Sympetrum danae"
52	"Sympetrum flaveolum"
53	"Sympetrum pedemontanum"
54	"Sympetrum sanguineum"
55	"Sympetrum striolatum"
56	"Sympetrum vulgatum"
