TaskID	Species
1	Aeshna caerulea
2	Aeshna cyanea
3	Aeshna grandis
4	Aeshna juncea
5	Aeshna mixta
6	Aeshna subarctica
7	Anax imperator
8	Brachytron pratense
9	Calopteryx splendens
10	Calopteryx virgo
11	Chalcolestes viridis
12	Coenagrion hastulatum
13	Coenagrion mercuriale
14	Coenagrion puella
15	Cordulegaster bidentata
16	Cordulegaster boltonii
17	Cordulia aenea
18	Enallagma cyathigerum
19	Epitheca bimaculata
20	Erythromma najas
21	Gomphus pulchellus
22	Gomphus vulgatissimus
23	Ischnura elegans
24	Ischnura pumilio
25	Lestes sponsa
26	Leucorrhinia albifrons
27	Leucorrhinia dubia
28	Leucorrhinia pectoralis
29	Leucorrhinia rubicunda
30	Libellula depressa
31	Libellula quadrimaculata
32	Onychogomphus forcipatus
33	Ophiogomphus cecilia
34	Orthetrum brunneum
35	Orthetrum cancellatum
36	Orthetrum coerulescens
37	Platycnemis pennipes
38	Pyrrhosoma nymphula
39	Somatochlora alpestris
40	Somatochlora arctica
41	Somatochlora flavomaculata
42	Somatochlora metallica
43	Sympecma fusca
44	Sympetrum danae
45	Sympetrum flaveolum
46	Sympetrum sanguineum
47	Sympetrum striolatum
48	Sympetrum vulgatum
