"TaskID"	"Species"
1	"Aeshna cyanea"
2	"Anax imperator"
3	"Calopteryx splendens"
4	"Calopteryx virgo"
5	"Coenagrion puella"
6	"Coenagrion pulchellum"
7	"Cordulegaster boltonii"
8	"Cordulia aenea"
9	"Crocothemis erythraea"
10	"Enallagma cyathigerum"
11	"Epitheca bimaculata"
12	"Erythromma najas"
13	"Gomphus pulchellus"
14	"Gomphus vulgatissimus"
15	"Ischnura elegans"
16	"Ischnura pumilio"
17	"Lestes dryas"
18	"Lestes sponsa"
19	"Lestes viridis"
20	"Libellula depressa"
21	"Libellula fulva"
22	"Libellula quadrimaculata"
23	"Orthetrum cancellatum"
24	"Orthetrum coerulescens"
25	"Platycnemis pennipes"
26	"Pyrrhosoma nymphula"
27	"Somatochlora metallica"
28	"Sympecma fusca"
29	"Sympetrum danae"
30	"Sympetrum sanguineum"
31	"Sympetrum striolatum"
