MTB_Natur,mtb_nr_order2_try2
Aachener Huegelland,VENNVORLAND
Achim-Verdener Geest,STADER GEEST
Adelegg,VORALPINES HÜGEL-UND MOORLAND
Ahreifel,OSTEIFEL
Aindlinger Terrassentreppe,DONAU-ILLER-LECH-PLATTEN
Albuch und Haertsfeld,SCHWÄBISCHE ALB (SCHWABENALB)
Alb-Wutach-Gebiet,GÄUPLATTEN IM NECKAR-UND TAUBERLAND
Alfelder Bergland (Ith und Hils-Bergland),WESER-LEINEBERGLAND
Aller-Talsandebene,WESER-ALLER-FLACHLAND
Allgaeuer Hochalpen,NÖRDLICHE KALKHOCHALPEN
Altenburg-Zeitzer Loessgebiet,SÄCHSISCHES HÜGELLAND (EINSCHL. LEIPZIGER LAND)
Alzeyer Huegelland,NÖRDLICHES OBERRHEINTIEFLAND
Alzplatte,ISAR-INN-SCHOTTERPLATTEN
Ammergebirge,SCHWÄBISCH-OBERBAYERISCHE VORALPEN
Ammer-Loisach-Huegelland,VORALPINES HÜGEL-UND MOORLAND
Amoeneburger Becken,WESTHESSISCHES BERGLAND
Angeln,SCHLESWIG-HOLSTEINISCHES HÜGELLAND
Ã–stliche Flaeminghochflaeche,FLÄMING 
Ã–stliche Harzabdachung,HARZ 
Ã–stliche Hocheifel,OSTEIFEL 
Ã–stlicher Hintertaunus,TAUNUS
Ã–stliches Harzvorland,MITTELDEUTSCHES SCHWARZERDEGEBIET
Baar,GÄUPLATTEN IM NECKAR-UND TAUBERLAND
Baaralb und Oberes Donautal,SCHWÄBISCHE ALB (SCHWABENALB)
Barmstedt-Kisdorfer Geest,SCHLESWIG-HOLSTEINISCHE GEEST
Barnimplatte,OSTBRANDENBURGISCHE PLATTE
Baruther Tal (mit Fiener Bruch),MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN
Bauland,GÄUPLATTEN IM NECKAR-UND TAUBERLAND
Beelitzer Heide,MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN
Beeskower Platte,OSTBRANDENBURGISCHES HEIDE-UND SEENGEBIET
Bellin und Glin,LUCHLAND
Belziger Vorflaeming,FLÄMING
Berchtesgadener Alpen,NÖRDLICHE KALKHOCHALPEN
Bergische Hochflaechen,BERGISCH-SAUERLÄNDISCHES GEBIRGE (SÜDERBERGLAND)
Bergisch-Sauerlaendisches Unterland,BERGISCH-SAUERLÄNDISCHES GEBIRGE (SÜDERBERGLAND)
Bergland der oberen Agger und Wiehl,BERGISCH-SAUERLÄNDISCHES GEBIRGE (SÜDERBERGLAND)
Berlin-Fuerstenwalder Spreetalniederung,OSTBRANDENBURGISCHES HEIDE-UND SEENGEBIET
Bersenbruecker Land,DÜMMER-GEESTNIEDERUNG
Bielefelder Osning,UNTERES WESERBERGLAND
Bitburger Gutland,GUTLAND
Bittkauer Platte,ELBTALNIEDERUNG
Bliesgau,PFÄLZISCH-SAARLÄNDISCHES MUSCHELKALKGEBIET
Bodeniederung,MITTELDEUTSCHES SCHWARZERDEGEBIET
Bodenseebecken,VORALPINES HÜGEL-UND MOORLAND
Bourtanger Moor und Weener Geest,EMS-HUNTE-GEEST
Brandenburg-Potsdamer Havelgebiet,MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN
Braunschweig-Hildesheimer Loessboerde,NIEDERSÄCHSISCHE BÖRDEN
Bredstedt-Husumer Geest,SCHLESWIG-HOLSTEINISCHE GEEST
Britzer Platte,MECKLENBURGISCHE SEENPLATTE
Buckower Huegel- und Kesselland (Maerkische Schweiz),OSTBRANDENBURGISCHE PLATTE
Bueckebergvorland,NIEDERSÄCHSISCHE BÖRDEN
Buedinger Wald,"ODENWALD,SPESSART UND SÜDRHÖN"
Burgdorf-Peiner Geestplatten,WESER-ALLER-FLACHLAND
Burgwald,WESTHESSISCHES BERGLAND
Burg-Ziesarer Vorflaeming,FLÄMING
Calenberger Bergland,WESER-LEINEBERGLAND
Calenberger Loessboerde,NIEDERSÄCHSISCHE BÖRDEN
Cham-Further Senke,OBERPFÄLZER UND BAYERISCHER WALD 
Chiemgauer Alpen,SCHWÄBISCH-OBERBAYERISCHE VORALPEN
Cloppenburger Geest,EMS-HUNTE-GEEST
Cottbuser Sandplatte,LAUSITZER BECKEN-UND HEIDELAND
Cottbuser Schwemmsandfaecher,SPREEWALD
