"TaskID"	"Species"
1	"Aeshna affinis"
2	"Aeshna cyanea"
3	"Aeshna grandis"
4	"Aeshna isoceles"
5	"Aeshna juncea"
6	"Aeshna mixta"
7	"Aeshna subarctica"
8	"Aeshna viridis"
9	"Anax imperator"
10	"Anax parthenope"
11	"Brachytron pratense"
12	"Calopteryx splendens"
13	"Calopteryx virgo"
14	"Chalcolestes viridis"
15	"Coenagrion hastulatum"
16	"Coenagrion lunulatum"
17	"Coenagrion puella"
18	"Coenagrion pulchellum"
19	"Cordulegaster boltonii"
20	"Cordulia aenea"
21	"Crocothemis erythraea"
22	"Enallagma cyathigerum"
23	"Epitheca bimaculata"
24	"Erythromma lindenii"
25	"Erythromma najas"
26	"Erythromma viridulum"
27	"Gomphus flavipes"
28	"Gomphus vulgatissimus"
29	"Ischnura elegans"
30	"Ischnura pumilio"
31	"Lestes barbarus"
32	"Lestes dryas"
33	"Lestes sponsa"
34	"Lestes virens"
35	"Leucorrhinia albifrons"
36	"Leucorrhinia caudalis"
37	"Leucorrhinia dubia"
38	"Leucorrhinia pectoralis"
39	"Leucorrhinia rubicunda"
40	"Libellula depressa"
41	"Libellula fulva"
42	"Libellula quadrimaculata"
43	"Nehalennia speciosa"
44	"Onychogomphus forcipatus"
45	"Ophiogomphus cecilia"
46	"Orthetrum brunneum"
47	"Orthetrum cancellatum"
48	"Orthetrum coerulescens"
49	"Platycnemis pennipes"
50	"Pyrrhosoma nymphula"
51	"Somatochlora flavomaculata"
52	"Somatochlora metallica"
53	"Sympecma fusca"
54	"Sympecma paedisca"
55	"Sympetrum danae"
56	"Sympetrum depressiusculum"
57	"Sympetrum flaveolum"
58	"Sympetrum pedemontanum"
59	"Sympetrum sanguineum"
60	"Sympetrum striolatum"
61	"Sympetrum vulgatum"
