"TaskID"	"Species"
1	"Aeshna affinis"
2	"Aeshna cyanea"
3	"Aeshna grandis"
4	"Aeshna isoceles"
5	"Aeshna juncea"
6	"Aeshna mixta"
7	"Anax imperator"
8	"Anax parthenope"
9	"Brachytron pratense"
10	"Calopteryx splendens"
11	"Calopteryx virgo"
12	"Ceriagrion tenellum"
13	"Chalcolestes viridis"
14	"Coenagrion hastulatum"
15	"Coenagrion mercuriale"
16	"Coenagrion puella"
17	"Coenagrion pulchellum"
18	"Coenagrion scitulum"
19	"Cordulegaster bidentata"
20	"Cordulegaster boltonii"
21	"Cordulia aenea"
22	"Crocothemis erythraea"
23	"Enallagma cyathigerum"
24	"Erythromma lindenii"
25	"Erythromma najas"
26	"Erythromma viridulum"
27	"Gomphus pulchellus"
28	"Gomphus vulgatissimus"
29	"Ischnura elegans"
30	"Ischnura pumilio"
31	"Lestes barbarus"
32	"Lestes dryas"
33	"Lestes sponsa"
34	"Lestes virens"
35	"Leucorrhinia caudalis"
36	"Leucorrhinia dubia"
37	"Leucorrhinia pectoralis"
38	"Libellula depressa"
39	"Libellula fulva"
40	"Libellula quadrimaculata"
41	"Onychogomphus forcipatus"
42	"Orthetrum albistylum"
43	"Orthetrum brunneum"
44	"Orthetrum cancellatum"
45	"Orthetrum coerulescens"
46	"Platycnemis pennipes"
47	"Pyrrhosoma nymphula"
48	"Somatochlora flavomaculata"
49	"Somatochlora metallica"
50	"Sympecma fusca"
51	"Sympecma paedisca"
52	"Sympetrum danae"
53	"Sympetrum depressiusculum"
54	"Sympetrum flaveolum"
55	"Sympetrum fonscolombii"
56	"Sympetrum meridionale"
57	"Sympetrum pedemontanum"
58	"Sympetrum sanguineum"
59	"Sympetrum striolatum"
60	"Sympetrum vulgatum"
