TaskID	Species
1	Aeshna affinis
2	Aeshna caerulea
3	Aeshna cyanea
4	Aeshna grandis
5	Aeshna isoceles
6	Aeshna juncea
7	Aeshna mixta
8	Aeshna subarctica
9	Anax imperator
10	Anax parthenope
11	Brachytron pratense
12	Calopteryx splendens
13	Calopteryx virgo
14	Chalcolestes viridis
15	Coenagrion hastulatum
16	Coenagrion lunulatum
17	Coenagrion mercuriale
18	Coenagrion ornatum
19	Coenagrion puella
20	Coenagrion pulchellum
21	Cordulegaster bidentata
22	Cordulegaster boltonii
23	Cordulia aenea
24	Crocothemis erythraea
25	Enallagma cyathigerum
26	Epitheca bimaculata
27	Erythromma lindenii
28	Erythromma najas
29	Erythromma viridulum
30	Gomphus pulchellus
31	Gomphus vulgatissimus
32	Ischnura elegans
33	Ischnura pumilio
34	Lestes barbarus
35	Lestes dryas
36	Lestes sponsa
37	Lestes virens
38	Leucorrhinia albifrons
39	Leucorrhinia caudalis
40	Leucorrhinia dubia
41	Leucorrhinia pectoralis
42	Leucorrhinia rubicunda
43	Libellula depressa
44	Libellula fulva
45	Libellula quadrimaculata
46	Nehalennia speciosa
47	Onychogomphus forcipatus
48	Ophiogomphus cecilia
49	Orthetrum brunneum
50	Orthetrum cancellatum
51	Orthetrum coerulescens
52	Platycnemis pennipes
53	Pyrrhosoma nymphula
54	Somatochlora alpestris
55	Somatochlora arctica
56	Somatochlora flavomaculata
57	Somatochlora metallica
58	Sympecma fusca
59	Sympecma paedisca
60	Sympetrum danae
61	Sympetrum depressiusculum
62	Sympetrum flaveolum
63	Sympetrum fonscolombii
64	Sympetrum meridionale
65	Sympetrum pedemontanum
66	Sympetrum sanguineum
67	Sympetrum striolatum
68	Sympetrum vulgatum
