"TaskID"	"Species"
1	"Aeshna cyanea"
2	"Aeshna grandis"
3	"Aeshna isoceles"
4	"Aeshna mixta"
5	"Aeshna subarctica"
6	"Aeshna viridis"
7	"Anax imperator"
8	"Anax parthenope"
9	"Brachytron pratense"
10	"Calopteryx splendens"
11	"Chalcolestes viridis"
12	"Coenagrion hastulatum"
13	"Coenagrion lunulatum"
14	"Coenagrion puella"
15	"Coenagrion pulchellum"
16	"Cordulia aenea"
17	"Enallagma cyathigerum"
18	"Epitheca bimaculata"
19	"Erythromma najas"
20	"Erythromma viridulum"
21	"Gomphus vulgatissimus"
22	"Ischnura elegans"
23	"Lestes barbarus"
24	"Lestes dryas"
25	"Lestes sponsa"
26	"Lestes virens"
27	"Leucorrhinia albifrons"
28	"Leucorrhinia caudalis"
29	"Leucorrhinia dubia"
30	"Leucorrhinia pectoralis"
31	"Leucorrhinia rubicunda"
32	"Libellula depressa"
33	"Libellula fulva"
34	"Libellula quadrimaculata"
35	"Orthetrum cancellatum"
36	"Platycnemis pennipes"
37	"Pyrrhosoma nymphula"
38	"Somatochlora flavomaculata"
39	"Somatochlora metallica"
40	"Sympecma fusca"
41	"Sympetrum danae"
42	"Sympetrum flaveolum"
43	"Sympetrum sanguineum"
44	"Sympetrum striolatum"
45	"Sympetrum vulgatum"
