"TaskID"	"Species"
1	"Aeshna affinis"
2	"Aeshna cyanea"
3	"Aeshna grandis"
4	"Aeshna isoceles"
5	"Aeshna juncea"
6	"Aeshna mixta"
7	"Aeshna subarctica"
8	"Aeshna viridis"
9	"Anax imperator"
10	"Anax parthenope"
11	"Brachytron pratense"
12	"Calopteryx splendens"
13	"Calopteryx virgo"
14	"Ceriagrion tenellum"
15	"Chalcolestes viridis"
16	"Coenagrion hastulatum"
17	"Coenagrion lunulatum"
18	"Coenagrion mercuriale"
19	"Coenagrion ornatum"
20	"Coenagrion puella"
21	"Coenagrion pulchellum"
22	"Cordulegaster bidentata"
23	"Cordulegaster boltonii"
24	"Cordulia aenea"
25	"Crocothemis erythraea"
26	"Enallagma cyathigerum"
27	"Erythromma lindenii"
28	"Erythromma najas"
29	"Erythromma viridulum"
30	"Gomphus flavipes"
31	"Gomphus pulchellus"
32	"Gomphus vulgatissimus"
33	"Ischnura elegans"
34	"Ischnura pumilio"
35	"Lestes barbarus"
36	"Lestes dryas"
37	"Lestes sponsa"
38	"Lestes virens"
39	"Leucorrhinia albifrons"
40	"Leucorrhinia caudalis"
41	"Leucorrhinia dubia"
42	"Leucorrhinia pectoralis"
43	"Leucorrhinia rubicunda"
44	"Libellula depressa"
45	"Libellula fulva"
46	"Libellula quadrimaculata"
47	"Nehalennia speciosa"
48	"Ophiogomphus cecilia"
49	"Orthetrum brunneum"
50	"Orthetrum cancellatum"
51	"Orthetrum coerulescens"
52	"Platycnemis pennipes"
53	"Pyrrhosoma nymphula"
54	"Somatochlora alpestris"
55	"Somatochlora arctica"
56	"Somatochlora flavomaculata"
57	"Somatochlora metallica"
58	"Sympecma fusca"
59	"Sympecma paedisca"
60	"Sympetrum danae"
61	"Sympetrum depressiusculum"
62	"Sympetrum flaveolum"
63	"Sympetrum fonscolombii"
64	"Sympetrum pedemontanum"
65	"Sympetrum sanguineum"
66	"Sympetrum striolatum"
67	"Sympetrum vulgatum"
