"TaskID"	"Species"
1	"Aeshna cyanea"
2	"Aeshna grandis"
3	"Aeshna juncea"
4	"Aeshna mixta"
5	"Aeshna subarctica"
6	"Aeshna viridis"
7	"Anax imperator"
8	"Brachytron pratense"
9	"Calopteryx splendens"
10	"Coenagrion puella"
11	"Coenagrion pulchellum"
12	"Cordulia aenea"
13	"Enallagma cyathigerum"
14	"Erythromma najas"
15	"Gomphus vulgatissimus"
16	"Ischnura elegans"
17	"Lestes dryas"
18	"Lestes sponsa"
19	"Lestes viridis"
20	"Leucorrhinia dubia"
21	"Leucorrhinia rubicunda"
22	"Libellula depressa"
23	"Libellula fulva"
24	"Libellula quadrimaculata"
25	"Orthetrum cancellatum"
26	"Platycnemis pennipes"
27	"Pyrrhosoma nymphula"
28	"Somatochlora metallica"
29	"Sympecma fusca"
30	"Sympetrum danae"
31	"Sympetrum flaveolum"
32	"Sympetrum sanguineum"
33	"Sympetrum striolatum"
34	"Sympetrum vulgatum"
