"TaskID"	"Species"
1	"Aeshna cyanea"
2	"Aeshna grandis"
3	"Aeshna isoceles"
4	"Aeshna juncea"
5	"Aeshna mixta"
6	"Anax imperator"
7	"Brachytron pratense"
8	"Calopteryx splendens"
9	"Chalcolestes viridis"
10	"Coenagrion hastulatum"
11	"Coenagrion puella"
12	"Coenagrion pulchellum"
13	"Cordulegaster boltonii"
14	"Cordulia aenea"
15	"Enallagma cyathigerum"
16	"Erythromma najas"
17	"Gomphus flavipes"
18	"Gomphus vulgatissimus"
19	"Ischnura elegans"
20	"Ischnura pumilio"
21	"Lestes dryas"
22	"Lestes sponsa"
23	"Lestes virens"
24	"Leucorrhinia albifrons"
25	"Leucorrhinia dubia"
26	"Leucorrhinia pectoralis"
27	"Leucorrhinia rubicunda"
28	"Libellula depressa"
29	"Libellula quadrimaculata"
30	"Ophiogomphus cecilia"
31	"Orthetrum cancellatum"
32	"Orthetrum coerulescens"
33	"Platycnemis pennipes"
34	"Pyrrhosoma nymphula"
35	"Somatochlora alpestris"
36	"Somatochlora arctica"
37	"Somatochlora flavomaculata"
38	"Somatochlora metallica"
39	"Sympecma fusca"
40	"Sympetrum danae"
41	"Sympetrum depressiusculum"
42	"Sympetrum sanguineum"
43	"Sympetrum striolatum"
44	"Sympetrum vulgatum"
