"","Species","German_name","Family","Suborder","germanRange","since","Flight_start","Flight_end","Taxon","Genus","Habitat","Endemic.to.Europe","EU.Red.List.Europe","Habitat.Directive","Threath.status.on.European.Red.List","species","lowerLat","upperLat","minLong","maxLong","nuEuroGrids","species..German.","development.time..max.","development.time..min.","devTime","Voltinism_Corbet","Migration","meanTemp","medTemp","sdTemp","medAb","medHw","Generalism","Flow","stream","river","pond","lake","marsh.wetlands","ditch","canal","fens","heath.moor","bog","woodland.forest","sand.gravel.pits.quarries","man.made","seasonal","Reference","VoltinismProp","Overwintering","Uni","RedList","GermanRedList"
"1","Aeshna affinis","Südliche Mosaikjungfer ","Aeshnidae","Anisoptera",18.4,16.8,7.3,8.3,"Cordulegaster heros Theischinger, 1979","Aeshna","Standing","No","Least Concern","No","No","affinis","34,57147","60,19779","-0,15804","9,97277",1382,"Südliche Mosaikjungfer",1,1,1,"U","M",10.6394653267292,10.3417127236076,2.49557845662139,44,39.5,"specialist","standing",0,0,2,2,2,0,0,0,0,0,0,0,0,2,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Larva",10,"least concern","*"
"2","Aeshna caerulea","Alpen Mosaikjungfer ","Aeshnidae","Anisoptera",0.4,0.3,7.2,8.2,"Cordulegaster insignis Schneider, 1845","Aeshna","Standing","No","Least Concern","No","No","caerulea","45,81121","70,95201","-3,39839","9,99715",555,NA,NA,NA,NA,NA,NA,2.66137400752074,2.7368712945092,2.8833339114519,45,39,"specialist","standing (slow-flowing)",0,0,0,0,0,0,0,2,2,2,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1,"Larva",0,"critically endangered","1"
"3","Aeshna cyanea","Blaugrüne Mosaikjungfer ","Aeshnidae","Anisoptera",91.2,77.7,7.3,8.3,"Cordulegaster trinacriae Waterston, 1976","Aeshna","Standing","No","Least Concern","No","No","cyanea","35,89856","63,33665","-0,01000","9,99715",2732,"Blaugrüne Mosaikjungfer",1,2,1.5,"P/S/U","",9.1388605222199,8.84063494205475,2.84476966042742,56,48,"specialist","standing (slow-flowing)",0,0,2,0,0,0,0,0,0,0,2,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",2.2,"Larva",4,"least concern","*"
"4","Aeshna grandis","Braune Mosaikjungfer ","Aeshnidae","Anisoptera",61.9,47.8,7.3,8.3,"Cordulia aenea (Linnaeus, 1758)","Aeshna","Standing","No","Least Concern","No","No","grandis","42,64941","69,18886","-0,01000","9,99715",2288,"Braune Mosaikjungfer",2,3,2.5,"S","",7.04126093109795,7.79642791571003,2.78175069199741,54.5,45,"generalist","standing, slow-flowing",0,0,2,2,0,0,2,2,0,2,2,0,2,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.9,"Larva",2,"least concern","*"
"5","Aeshna isoceles","Keilfleck Mosaikjungfer ","Aeshnidae","Anisoptera",25.7,21.9,6.1,7.1,"Crocothemis erythraea (Brullé, 1832)","Aeshna","Standing","No","Least Concern","No","No","isoceles","36,81753","58,42007","-0,05569","9,97277",1485,"Keilflecklibelle",1,2,1.5,"S","",10.1388701623116,9.61370800445122,2.68245433053312,50.5,42,"specialist","standing, slow-flowing",0,0,2,2,2,0,2,0,0,0,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",2.1,"Larva",3,"least concern","*"
"6","Aeshna juncea","Torf Mosaikjungfer ","Aeshnidae","Anisoptera",40.3,29.3,7.1,8.3,"Diplacodes lefebvrii (Rambur, 1842)","Aeshna","Standing","No","Least Concern","No","No","juncea","40,40007","70,98227","-0,27104","9,99715",2176,"Torf-Mosaikjungfer",2,4,3,"P/S","",6.45850873884511,7.37643479067704,3.1480970304894,54.5,44,"specialist","standing",0,0,0,0,0,0,0,1,0,2,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.3,"Larva",0,"near threatened","V"
"7","Aeshna mixta","Herbst Mosaikjungfer ","Aeshnidae","Anisoptera",78,62.8,8.1,9.2,"Enallagma cyathigerum (Charpentier, 1840)","Aeshna","Standing","No","Least Concern","No","No","mixta","34,57145","61,56265","-0,01000","9,99715",2571,"Herbst-Mosaikjungfer",0.25,0.5,0.38,"U","M",10.0689124284941,9.69775421016819,2.92889932589771,48.5,39.5,"generalist","standing, slow-flowing",0,0,2,2,0,0,0,0,0,0,0,0,2,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",2.9,"Larva",9,"least concern","*"
"8","Aeshna subarctica","Hochmoor Mosaikjungfer ","Aeshnidae","Anisoptera",9.3,6.2,8.1,9.1,"Epitheca bimaculata (Charpentier, 1825)","Aeshna","Standing","No","Least Concern","No","No","subarctica","42,19963","69,18896","10,00568","9,99715",567,"Hochmoor-Mosaikjungfer",3,4,3.5,"P","",5.96804307509447,6.3681838493037,2.62968607233254,52,42.5,"specialist","standing",0,0,0,0,0,0,0,0,2,2,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.3,"Larva",0,"critically endangered","1"
"9","Aeshna viridis","Grüne Mosaikjungfer ","Aeshnidae","Anisoptera",9.4,6.5,NA,NA,"Erythromma lindenii (Selys, 1840)","Aeshna","Standing","No","Near Threatened","Yes","No","viridis","45,37225","65,14504","10,10368","9,42150",393,NA,NA,NA,NA,NA,NA,7.68026404393262,7.8672084643109,1.57295512301761,48.5,41.5,"specialist","standing, slow-flowing",0,0,0,2,2,2,2,0,0,0,0,0,2,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.5,"Larva",0,"endangered","2"
"10","Anax ephippiger","Schabracken Königslibelle ","Aeshnidae","Anisoptera",2.5,2.2,6.3,8.1,"Erythromma najas (Hansemann, 1823)","Anax","Standing","No","Least Concern","No","No","ephippiger","27,80251","64,24781","-0,05569","9,97277",675,"Schabrackenlibelle",0.17,0.25,0.21,"B","M",11.7921829806025,11.5907219250997,3.1561479150128,49.5,45.5,"specialist","standing",0,0,2,2,0,0,0,0,0,0,0,0,0,2,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",4,"Other",0,"not listed",NA
